StockCode,Description,Category,UnitPrice
HOM0001,Nike Deluxe Sofa,Home & Garden,576.5
HEA0002,Premium Blue Supplements,Health & Beauty,80.19
KIT0003,Microsoft Purple Mixer,Kitchen,349.0
AUT0004,Generic Ultra Seat Covers,Automotive,102.77
HEA0005,Nike Brown Conditioner,Health & Beauty,123.06
SPO0006,Budget Orange Basketball,Sports & Outdoors,22.44
HOM0007,Apple Bookshelf,Home & Garden,624.65
HEA0008,Panasonic Compact Cleanser,Health & Beauty,29.74
BOO0009,Premium Self-Help Book,Books,26.89
AUT0010,Philips Gold Motor Oil,Automotive,67.91
ELE0011,Microsoft Gold Smart Home Device,Electronics,533.52
HEA0012,Target Red Lipstick,Health & Beauty,130.91
HOM0013,HP Chair,Home & Garden,121.63
FAS0014,Apple XL Boots,Fashion,153.28
FAS0015,Samsung T-Shirt,Fashion,287.24
OFF0016,Nike Pen,Office Supplies,79.6
HEA0017,Kitchenaid Purple Deodorant,Health & Beauty,140.16
TOY0018,Walmart Brown Art Supplies,Toys & Games,139.55
BOO0019,Professional Science Book,Books,21.25
HEA0020,Walmart Supplements,Health & Beauty,56.62
BOO0021,Apple Mini Travel Guide,Books,37.63
HOM0022,Walmart Sofa,Home & Garden,436.24
KIT0023,Philips Standard Utensil Set,Kitchen,436.23
AUT0024,Generic Car Charger,Automotive,296.06
BOO0025,Target White Fiction Novel,Books,48.63
BOO0026,Amazon Mini Language Learning,Books,38.26
FAS0027,Panasonic XL Sneakers,Fashion,296.26
FAS0028,HP Green Hat,Fashion,262.91
OFF0029,Samsung Scissors,Office Supplies,80.09
SPO0030,Basic Large Fishing Rod,Sports & Outdoors,382.92
TOY0031,Amazon Card Game,Toys & Games,42.38
FAS0032,Panasonic Black Shoes,Fashion,60.67
BOO0033,Luxury Health Book,Books,37.36
TOY0034,Generic Doll,Toys & Games,111.56
TOY0035,Standard Pink Action Figure,Toys & Games,187.04
OFF0036,Target Mini Pencil,Office Supplies,66.08
AUT0037,Panasonic Pink GPS Navigator,Automotive,88.84
SPO0038,Nike Dumbbell,Sports & Outdoors,301.42
KIT0039,IKEA Gray Microwave,Kitchen,477.49
OFF0040,HP Notebook,Office Supplies,54.49
HEA0041,Canon Standard Nail Polish,Health & Beauty,140.42
HOM0042,Generic Pink Desk,Home & Garden,107.6
ELE0043,Basic Green Hard Drive,Electronics,1635.97
SPO0044,Bosch Green Football,Sports & Outdoors,248.56
HOM0045,Walmart Pro Table,Home & Garden,792.51
FAS0046,Basic XL Blouse,Fashion,194.86
KIT0047,HP Mini Oven,Kitchen,38.82
BOO0048,Professional Pink Biography,Books,36.52
ELE0049,Basic Mini Smart Watch,Electronics,612.22
HOM0050,Cuisinart Compact Sofa,Home & Garden,550.37
BOO0051,LG Health Book,Books,37.7
